Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.3691449429607019,373.9560246213434,,788103.5,,,0.0004745011595829017,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,2.496061712037772,410.2462671742245,,817140.7,,,0.0005020509530050633,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,4.6446847640909255,440.9341223399134,,855747.2105263158,,,0.0005152621205375858,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,10.294123957981355,397.8968989220538,,851624.7619047619,,,0.0004672209131544147,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,0.7454240389633924,5494.859014334998,,857583.6666666666,,,0.006407373680159874,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,1.5286634810036048,5358.929615183684,,985542.4285714285,,,0.005437543285631653,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,3.225616784999147,5079.338648098067,,1025763.2307692308,,,0.004951765179074529,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,7.4686914150370285,4387.381695008421,,1063004.3333333333,,,0.004127341307490833,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,19.993031754042022,3277.9420753308455,,1122971.65,,,0.002918989161775229,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,0.8568395540351048,9560.716427505602,,1102442.75,,,0.008672301965345231,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,1.8955932559911162,8643.204415407978,,1001606.375,,,0.00862934245542115,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,4.2093170679872856,7784.63571898808,,1104218.8823529412,,,0.007049902735225894,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,1.1425524909282103,14339.82257278143,,1256134.6,,,0.011415832803890148,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,2.487406021100469,13173.563029932244,,1219843.1,,,0.010799391356095093,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,6.2081263000145555,10556.486262182898,,1197650.96,,,0.00881432622254392,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,128,1,4.946936655091122,51.74919709888311,,872831.5,,,5.928887431180372e-05,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,256,1,10.971427184995264,46.66667256382297,,846082.2954545454,,,5.515618612342193e-05,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,512,1,20.159679069998674,50.79445939811121,,879165.6172839506,,,5.777575737667383e-05,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,1024,1,40.459191325935535,50.61890593663872,,879144.8518518518,,,5.7577435424906195e-05,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,2048,1,83.13042395701632,49.27197294359873,,873196.7627627627,,,5.6427113618360204e-05,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,128,1,3.992128569050692,64.12619122156066,,1003829.0,,,6.38815886187395e-05,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,256,1,6.942778810975142,73.7456879932039,,1112783.75,,,6.627135595141815e-05,
