Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,1,29.161399841308594,140.45964947806826
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,16,45.125619649887085,1452.3013868500748
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,32,64.64576935768127,2027.5418067157073
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,64,103.30981254577637,2537.4549961925886
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,1,1.798964262008667,142.3041054268407
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,16,1.9773533344268799,2071.4557831856555
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,32,2.116464853286743,3870.605262959276
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,64,2.57560396194458,6361.226431578435
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,1,3.041935920715332,168.3138676634581
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,1,5.709717273712158,179.3433809261538
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,1,10.93117618560791,187.35403814059976
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,1,24.09589648246765,169.98745006147746
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,128,1,2.6172800064086914,97.81146815516738
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,128,16,2.4134912490844727,1697.126518090242
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,128,32,2.8502707481384277,2874.112926061627
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,128,64,3.4692223072052,4722.672273256228
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,256,1,3.5492963790893555,144.25394368766806
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,256,16,4.475093841552734,1830.5761376296864
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,256,32,5.4778358936309814,2990.962182538088
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,256,64,6.804156541824341,4815.879793267395
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,512,1,6.557063817977905,156.16745976948343
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,512,16,8.703911542892456,1882.3720713681932
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,512,32,10.780473709106445,3039.5695851769783
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,512,64,13.999878168106079,4681.183594104505
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,1024,1,13.427444458007812,152.52343857424194
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,1024,16,17.756195068359375,1845.440415237997
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,1024,32,22.813775777816772,2872.6503073517824
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,1024,64,30.212839603424072,4338.288016633345
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,2048,1,29.399009227752686,139.3244230874751
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,2048,16,41.83015155792236,1566.7167714956056
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,2048,32,55.26773476600647,2371.5826341523675
Nvidia A100 GPU,4,DeepSpeed-MII,mistralai/Mixtral-8x7B-v0.1,2048,64,76.16347527503967,3441.8597504033532
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,128,1,4.344691,58.922482
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,128,16,2.330946,109.826672
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,128,32,2.267283,112.910457
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,128,64,2.236775,114.450477
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,256,1,8.727669,58.664006
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,256,16,4.683621,109.317132
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,256,32,4.560634,112.265089
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,256,64,4.499336,113.794575
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,512,1,17.593081,58.204701
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,512,16,9.493896,107.858778
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,512,32,9.233963,110.894966
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,512,64,9.111937,112.380060
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,1024,1,35.746513,57.292302
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,1024,16,19.451122,105.289559
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,1024,32,18.891210,108.410209
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,1024,64,18.646714,109.831684
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,2048,1,73.646976,55.616676
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,2048,16,40.648504,100.766316
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,2048,32,39.387901,103.991324
Nvidia A100 GPU,1,llama.cpp,meta-llama/Llama-2-7b-hf,2048,64,38.902004,105.290204
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,128,1,3.515218,72.826211
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,128,16,2.398466,106.734884
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,128,32,2.371726,107.938252
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,128,64,2.350213,108.926315
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,256,1,7.075915,72.358129
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,256,16,4.813659,106.363984
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,256,32,4.749903,107.791681
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,256,64,4.714347,108.604638
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,512,1,14.253287,71.843075
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,512,16,9.742060,105.111242
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,512,32,9.605248,106.608391
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,512,64,9.526547,107.489100
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,1024,1,28.991091,70.642393
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,1024,16,19.960833,102.600928
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,1024,32,19.588436,104.551483
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,1024,64,19.475780,105.156249
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,2048,1,59.833107,68.457084
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,2048,16,41.430518,98.864319
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,2048,32,40.781996,100.436477
Nvidia A100 GPU,2,llama.cpp,meta-llama/Llama-2-7b-hf,2048,64,40.509508,101.112064
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,128,1,3.036727,84.301288
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,128,16,2.535843,100.952627
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,128,32,2.657146,96.343960
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,128,64,2.640680,96.944739
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,256,1,6.321136,80.998101
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,256,16,5.134348,99.720558
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,256,32,5.192250,98.608503
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,256,64,5.313140,96.364869
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,512,1,12.964894,78.982519
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,512,16,10.603133,96.575230
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,512,32,10.521808,97.321675
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,512,64,10.567619,96.899788
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,1024,1,26.668761,76.793969
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,1024,16,21.912281,93.463570
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,1024,32,21.754493,94.141471
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,1024,64,21.639452,94.641953
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,2048,1,55.411407,73.919798
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,2048,16,45.653532,89.719236
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,2048,32,45.228601,90.562165
Nvidia A100 GPU,4,llama.cpp,meta-llama/Llama-2-7b-hf,2048,64,45.046613,90.928034
Nvidia A100 GPU,1,llama.cpp,meta-llama/Meta-Llama-3-8B,128,1,4.818052,53.133503
Nvidia A100 GPU,1,llama.cpp,meta-llama/Meta-Llama-3-8B,128,16,2.582490,99.129144
Nvidia A100 GPU,1,llama.cpp,meta-llama/Meta-Llama-3-8B,128,32,2.510395,101.975973
Nvidia A100 GPU,1,llama.cpp,meta-llama/Meta-Llama-3-8B,128,64,2.475806,103.400680
